pdb_id,status,n_nodes,n_edges,message
7Q9I,missing,,,PDB not found in ZIP
7Q9J,missing,,,PDB not found in ZIP
7QEZ,missing,,,PDB not found in ZIP
7QNW,missing,,,PDB not found in ZIP
7QNY,missing,,,PDB not found in ZIP
7QTI,missing,,,PDB not found in ZIP
7R40,missing,,,PDB not found in ZIP
7R7N,missing,,,PDB not found in ZIP
7RBU,missing,,,PDB not found in ZIP
7RKU,missing,,,PDB not found in ZIP
7RKV,missing,,,PDB not found in ZIP
7RNJ,missing,,,PDB not found in ZIP
7RQ6,missing,,,PDB not found in ZIP
7RR0,missing,,,PDB not found in ZIP
7RU3,missing,,,PDB not found in ZIP
7RU5,missing,,,PDB not found in ZIP
7S0B,missing,,,PDB not found in ZIP
7S0C,missing,,,PDB not found in ZIP
7S0D,missing,,,PDB not found in ZIP
7S0E,missing,,,PDB not found in ZIP
7S3M,missing,,,PDB not found in ZIP
7S5P,missing,,,PDB not found in ZIP
7S5Q,missing,,,PDB not found in ZIP
7S5R,missing,,,PDB not found in ZIP
7S6J,missing,,,PDB not found in ZIP
7SC1,missing,,,PDB not found in ZIP
7SD5,missing,,,PDB not found in ZIP
7SI2,missing,,,PDB not found in ZIP
7SIX,missing,,,PDB not found in ZIP
7SJS,missing,,,PDB not found in ZIP
7SKZ,missing,,,PDB not found in ZIP
7SL5,missing,,,PDB not found in ZIP
7SN1,missing,,,PDB not found in ZIP
7SOE,missing,,,PDB not found in ZIP
7SWN,missing,,,PDB not found in ZIP
7SWO,missing,,,PDB not found in ZIP
7SWP,missing,,,PDB not found in ZIP
7SWW,missing,,,PDB not found in ZIP
7T01,missing,,,PDB not found in ZIP
7T3M,missing,,,PDB not found in ZIP
7T72,missing,,,PDB not found in ZIP
7T7B,missing,,,PDB not found in ZIP
7TAS,missing,,,PDB not found in ZIP
7TB8,missing,,,PDB not found in ZIP
7TC9,missing,,,PDB not found in ZIP
7TCQ,missing,,,PDB not found in ZIP
7TE1,missing,,,PDB not found in ZIP
7THE,missing,,,PDB not found in ZIP
7TOW,missing,,,PDB not found in ZIP
7TP3,missing,,,PDB not found in ZIP
7TP4,missing,,,PDB not found in ZIP
7U09,missing,,,PDB not found in ZIP
7U0A,missing,,,PDB not found in ZIP
7U0E,missing,,,PDB not found in ZIP
7U0L,missing,,,PDB not found in ZIP
7U0Q,missing,,,PDB not found in ZIP
7U0X,missing,,,PDB not found in ZIP
7U2D,missing,,,PDB not found in ZIP
7U2E,missing,,,PDB not found in ZIP
7U9O,missing,,,PDB not found in ZIP
7U9P,missing,,,PDB not found in ZIP
7UAP,missing,,,PDB not found in ZIP
7UAR,missing,,,PDB not found in ZIP
7UKL,missing,,,PDB not found in ZIP
7UKM,missing,,,PDB not found in ZIP
7UL0,missing,,,PDB not found in ZIP
7UL1,missing,,,PDB not found in ZIP
7UPW,missing,,,PDB not found in ZIP
